QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
201,MA,1,,STMP30,13-Dec-1995,20-Dec-1995,R,3186,N,T08,Faulty soil thermometer at 30cm replaced with new on 20-DEC-95
202,MA,1,,NETRAD,13-Dec-1995,20-Dec-1995,R,3187,N,T08,Net radiometer sensor removed to re-black active surfaces. Temporary sensor inserted in mean time
203,MA,1,,WSPEED,13-Dec-1995,10-Jan-1996,R,3188,N,T08,Wind speed sensor removed to replace reed switch. Temporary sensor inserted in mean time
537,MA,1,,STMP10,04-Nov-1997,04-Nov-1997,D,3406,N,T08,Repaired probe replaced and recalibrated.
538,MA,1,,SWATER,04-Nov-1997,04-Nov-1997,D,3407,N,T08,Gypsum block replaced.
601,MA,1,,,30-Apr-1998,30-Apr-1998,D,3444,N,T08,Replaced cracked upper (sky) dome of net solarimeter and silica gel on AWS
602,MA,1,,NETRAD,30-Apr-1998,30-Apr-1998,D,3445,N,T08,Day 120 12:00 not data for net radiation
684,MA,1,,,02-Nov-1998,06-Nov-1998,R,3489,N,T08,The logger was removed for IH to program in the theta probe. The solar radiation and dry bulb temp were recorded using a different instrument. This data wasn't loaded into the main tables but is available in users/ecn/indata/wyt/ma/d788b
788,MA,1,,,26-May-1999,26-May-1999,D,3566,N,T08,Met area strimmed
789,MA,1,,,23-Jul-1999,23-Jul-1999,D,3567,N,T08,Met area strimmed
787,MA,1,,,10-Sep-1999,10-Sep-1999,D,3565,N,T08,AWS serviced.  Changed wet offset from -2.2 to -2.6 and 10cm soil offset from -0.77393 to -1.39
786,MA,1,,STMP30,21-Jul-1999,06-Nov-1999,R,3564,N,T08,Probe checked as it was 1.2C higher than manual temperature.  It read ok in ice water. May have been buried at the wrong depth on6/11/99.  Over winter it had not varied greatly from manual and so cannot alter data.
